DIA;IMPORTE 
31/12/2024;229,85
30/12/2024;397,8
28/12/2024;231,9
27/12/2024;522,9
26/12/2024;431,25
24/12/2024;557,9
23/12/2024;585,8
21/12/2024;510,9
20/12/2024;1.085,20
19/12/2024;863
18/12/2024;1.000,40
17/12/2024;1.024,05
14/12/2024;544,35
13/12/2024;757,25
12/12/2024;583,75
11/12/2024;628,65
10/12/2024;457,85
05/12/2024;666,65
04/12/2024;677,3
03/12/2024;481,4
02/12/2024;0
30/11/2024;330
29/11/2024;632,7
28/11/2024;401,25
27/11/2024;744,8
26/11/2024;375,75
23/11/2024;648,4
22/11/2024;613,7
21/11/2024;523,75
20/11/2024;381,7
19/11/2024;395,75
16/11/2024;533,32
15/11/2024;868,1
14/11/2024;353,9
13/11/2024;442,65
12/11/2024;184,25
09/11/2024;281,9
08/11/2024;299,25
07/11/2024;83,9
06/11/2024;451,25
05/11/2024;432,7
02/11/2024;202,7
31/10/2024;668,77
30/10/2024;325,25
29/10/2024;387,35
26/10/2024;452,9
25/10/2024;659,3
24/10/2024;400,25
23/10/2024;280,2
22/10/2024;433,7
19/10/2024;346,9
18/10/2024;674,7
17/10/2024;393,65
16/10/2024;214,39
15/10/2024;279,9
11/10/2024;493,9
10/10/2024;392,15
09/10/2024;344,7
08/10/2024;162,3
05/10/2024;164,9
04/10/2024;473,7
03/10/2024;247,3
02/10/2024;307,9
01/10/2024;183,8
;29707,78
